Time,Rating,Sentiment,Product
2006,4.0,Good,Digital_Video_Games
2008,2.0,Poor,Digital_Video_Games
2009,3.89237668161435,Average,Digital_Video_Games
2010,3.733829870638965,Average,Digital_Video_Games
2011,3.648351648351648,Fair,Digital_Video_Games
2012,3.683653209794838,Fair,Digital_Video_Games
2013,3.747001040101699,Average,Digital_Video_Games
2014,3.9450569601393632,Good,Digital_Video_Games
2015,4.0268966922502205,Good,Digital_Video_Games
